MaintenanceID,TechnicianName,Team,Contact,Shift,Region
61,Sandra Kennedy,Maintenance Squad,9016758646,Night,South
62,Ryan Carroll,Zone Tech Team,671.830.1522x538,Night,Midwest
63,Brooke Patterson,Facility Repairs,887.201.7170x959,Morning,Midwest
64,Tracy Gonzalez,Facility Repairs,001-236-545-2778x4216,Evening,South
65,Connie Obrien,Automation Crew,597.784.8791x96223,Evening,South
66,Monica Taylor DVM,Equipment Ops Team,532.599.6168x7188,Night,Northeast
67,Christina Price,Maintenance Squad,786.829.8146,Morning,South
68,Elizabeth Mason,Equipment Ops Team,001-913-673-7072x23285,Evening,Northeast
69,Donald Smith,Equipment Ops Team,+1-964-809-2334x08338,Evening,Midwest
70,Cynthia Simmons,Facility Repairs,(588)822-9632,Evening,Northeast
71,Mike Maddox,Facility Repairs,001-237-362-0487x751,Evening,West
72,Julie Mooney,Facility Repairs,+1-717-391-4533x105,Night,South
73,Jonathan Nelson,Equipment Ops Team,+1-239-395-9893x07981,Morning,South
74,Richard Young,Maintenance Squad,996.520.0971,Night,South
75,Kevin Velez,Equipment Ops Team,352.459.9133,Morning,Midwest
76,Ian Wong,Equipment Ops Team,(220)620-3191x867,Evening,Midwest
77,Lee Wilson,Equipment Ops Team,362-240-5143x24211,Morning,Northeast
78,Laura Smith,Automation Crew,+1-745-424-8911x197,Morning,Midwest
79,Susan Collins,Maintenance Squad,883-239-5695x4059,Night,Midwest
80,Sara Williams,Automation Crew,001-821-628-6303,Evening,West
81,Alexis Porter,Automation Crew,536-629-4553,Evening,Midwest
82,Megan Choi,Automation Crew,+1-747-206-0101x486,Morning,Midwest
83,Gina Hamilton,Equipment Ops Team,887.267.2421x98778,Morning,South
84,Marc Johns,Zone Tech Team,8583851526,Night,West
85,Ashley Martinez,Zone Tech Team,383-679-0864x9361,Morning,Midwest
86,Mr. Brian Parsons,Equipment Ops Team,001-882-906-9238x886,Night,Midwest
87,Wendy Scott,Maintenance Squad,(372)719-3799,Night,South
88,Eric Frey MD,Automation Crew,6008473958,Evening,South
89,Max Flynn,Maintenance Squad,+1-543-984-4687x722,Morning,South
90,Gary King,Equipment Ops Team,+1-668-739-7204x4094,Morning,Northeast
91,David Berry,Automation Crew,7147884200,Night,Northeast
92,Kelly Mercado,Equipment Ops Team,872-669-2773x77964,Morning,West
93,Christina Green,Facility Repairs,+1-621-421-0770,Morning,South
94,Kathleen Baxter,Automation Crew,803.880.7208,Evening,South
95,Jason Fox,Automation Crew,001-720-217-5256x0403,Night,West
96,Donald Wu,Equipment Ops Team,+1-514-783-0864,Morning,Northeast
97,Harry Reynolds,Zone Tech Team,(734)926-0847,Night,Northeast
98,Christian Ramirez,Automation Crew,(827)316-9920x2219,Night,Northeast
99,Christine Morgan,Automation Crew,+1-439-295-5831x138,Evening,South
100,Joseph Roth,Zone Tech Team,001-382-342-6966x318,Morning,Northeast
101,John Jackson,Maintenance Squad,001-924-976-7596,Night,West
102,Rebecca Rodriguez,Zone Tech Team,890.518.8379x2519,Night,South
103,Joseph Delgado,Automation Crew,001-436-452-7036x05022,Evening,Northeast
104,Shannon Torres DDS,Equipment Ops Team,001-594-908-7773x7936,Evening,Midwest
105,Robert Snyder,Maintenance Squad,241-878-0155x50886,Morning,Midwest
106,Rachel Alvarez,Zone Tech Team,(889)868-2040x353,Night,Midwest
107,Kristen Jackson,Facility Repairs,(708)768-5276x484,Evening,Midwest
108,Kevin Strickland,Automation Crew,923-512-0293x593,Night,West
109,Eric Mckinney,Equipment Ops Team,952-364-3396x3922,Morning,Northeast
110,Mrs. Renee Simmons,Zone Tech Team,001-982-360-8296x2985,Morning,West
111,Jason Reed,Equipment Ops Team,(841)329-1599x72708,Night,South
112,Donald Rogers,Automation Crew,(841)552-6047,Evening,South
113,Mark Tran,Automation Crew,919.664.1300,Evening,Midwest
114,Ana Howard,Equipment Ops Team,001-795-444-7288x5473,Night,West
115,Andrew Mclean,Facility Repairs,218-724-7644,Night,Midwest
116,Scott Jones,Equipment Ops Team,+1-803-382-7321x41759,Night,West
117,Michael Smith,Automation Crew,322-204-0200x23690,Evening,Northeast
118,Joshua White,Facility Repairs,+1-902-287-3331x5933,Night,Northeast
119,Dominic Rose,Automation Crew,380-725-2210x82153,Night,Northeast
120,Lauren Wiggins,Maintenance Squad,352-710-7377x23290,Night,Northeast
121,Johnathan Pittman,Automation Crew,+1-965-508-1198x7345,Evening,Midwest
122,William Duran,Zone Tech Team,732-675-3177x6699,Night,Northeast
123,Debra Anderson,Equipment Ops Team,+1-844-272-2055,Evening,Northeast
124,Daniel Parker,Equipment Ops Team,(716)223-8877x8726,Night,Midwest
125,Kenneth Johnson,Zone Tech Team,259-252-2100,Night,Northeast
126,Crystal Duran,Facility Repairs,669-980-1101x681,Evening,Northeast
127,Elizabeth Lewis,Facility Repairs,(713)685-5819x8037,Evening,Northeast
128,Claudia Johnson,Zone Tech Team,001-877-909-3111,Evening,Midwest
129,Nicholas Martin,Zone Tech Team,(477)957-6526,Morning,South
130,Shawn Hayes,Facility Repairs,869-815-4067,Morning,West
131,Valerie Brown,Facility Repairs,858.456.7775,Night,Northeast
132,Mary Kennedy,Facility Repairs,356.500.3197,Night,West
133,Tara Wood,Facility Repairs,7627016579,Evening,South
134,Karen Burke,Zone Tech Team,347-850-6580,Night,Northeast
135,Sarah Goodwin,Facility Repairs,723-289-6850x39351,Morning,West
136,Lindsay Santos,Facility Repairs,001-803-776-2750x795,Morning,Midwest
137,Joanne Miller,Automation Crew,975-988-5904,Evening,Northeast
138,Sandra Williams,Facility Repairs,(858)261-2744x3534,Evening,South
139,Brian Bennett,Maintenance Squad,+1-607-798-5636,Evening,West
140,Michael Carrillo,Equipment Ops Team,304-701-6388x73048,Morning,Midwest
141,James Bryant,Facility Repairs,001-448-226-0252x503,Night,South
142,Thomas Castillo,Maintenance Squad,8762288735,Night,Northeast
143,Raymond Thompson,Zone Tech Team,(859)603-9312x30124,Evening,South
144,Cindy Faulkner,Equipment Ops Team,6498786570,Night,Northeast
145,Ricky Krause,Facility Repairs,673.700.6334,Morning,Midwest
146,James Johnson,Zone Tech Team,413-363-6791x894,Evening,West
147,Sarah Peterson,Zone Tech Team,+1-670-601-8893x944,Night,West
148,Colleen Chapman,Maintenance Squad,(240)655-7566x2904,Evening,West
149,Christopher Wilson,Zone Tech Team,001-631-354-3935,Evening,Midwest
150,Robert West,Equipment Ops Team,(876)961-2973,Night,South
151,Dustin Hughes,Facility Repairs,+1-589-931-8272x71679,Night,South
152,Kimberly Nelson,Zone Tech Team,378-987-1391,Evening,Northeast
153,Steven Barnett,Equipment Ops Team,979.656.6808x35616,Evening,South
154,Olivia Ryan,Zone Tech Team,242-471-4616x884,Evening,South
155,Catherine Yu,Facility Repairs,858-737-8858,Morning,South
156,Jeffrey Turner,Automation Crew,+1-362-241-0027x03710,Morning,Midwest
157,William Cole,Facility Repairs,(975)505-3506x47507,Morning,South
158,Philip Parker,Automation Crew,422.283.8441,Night,West
159,Isabella Beard,Maintenance Squad,(500)598-6018,Night,West
160,Angela Wells,Automation Crew,(401)302-5026x5177,Morning,Midwest
161,Eric Odonnell,Equipment Ops Team,+1-812-513-7871x2889,Night,South
162,Brenda Haynes,Maintenance Squad,4602144385,Morning,South
163,John Porter,Maintenance Squad,001-266-269-6264,Evening,West
164,Brandon Berry,Facility Repairs,(609)871-3774,Morning,Midwest
165,Anna Kidd,Automation Crew,001-201-560-8553x178,Night,South
166,Zachary Williams,Maintenance Squad,001-862-896-7060x45354,Evening,Northeast
167,Katherine Simpson,Maintenance Squad,001-679-380-8092x071,Morning,West
168,Nicole Whitehead,Facility Repairs,805.980.2906,Evening,Northeast
169,Richard Garner,Automation Crew,3835997218,Morning,West
170,Mary Hodge,Automation Crew,(330)437-7180x78657,Evening,Northeast
171,Linda Sanchez,Zone Tech Team,001-727-216-0018,Evening,Midwest
172,Dylan Andrews,Zone Tech Team,001-783-968-0949x846,Morning,South
173,Dawn Brock,Equipment Ops Team,001-686-434-9285x90122,Night,South
174,Nicholas Oliver,Maintenance Squad,772-615-6089x36186,Night,South
175,Laurie James,Maintenance Squad,6733152421,Evening,West
176,Joseph Huffman,Facility Repairs,926-251-4046x384,Night,West
177,Kathleen Moore,Equipment Ops Team,676-999-5621x3676,Evening,Midwest
178,Adam Thompson,Equipment Ops Team,+1-934-531-5341x19127,Morning,Midwest
179,Stacey Peters,Equipment Ops Team,001-493-861-8168x1758,Evening,Northeast
180,Ashley Silva,Facility Repairs,323.938.8849,Evening,South
181,Jasmine Long,Maintenance Squad,338.517.7278,Night,Northeast
182,Kayla Duke,Equipment Ops Team,207-868-8793x622,Evening,West
183,Alexa Perez,Automation Crew,515-266-3407x8652,Morning,West
184,Donald Levy,Facility Repairs,+1-200-885-7105x5764,Evening,South
185,Sharon Velasquez,Automation Crew,893.436.2462x4888,Night,Midwest
186,Christopher Cooley,Automation Crew,(358)865-1499x03996,Night,South
187,John Harvey,Zone Tech Team,558-755-8020x96910,Night,South
188,Jon Hicks,Automation Crew,808.294.9478x55428,Night,West
189,John Smith,Zone Tech Team,457.595.5045x980,Night,Midwest
190,Mark Floyd,Equipment Ops Team,316-341-3324,Evening,South
191,Alicia Frank,Equipment Ops Team,(439)875-4939x8878,Morning,West
192,Matthew Marshall,Maintenance Squad,+1-664-868-6974x864,Evening,South
193,Julie Anthony,Automation Crew,+1-811-543-1762x23150,Night,South
194,Theresa Bartlett,Zone Tech Team,231.414.2910x7747,Evening,Midwest
195,Jessica Young,Maintenance Squad,(867)486-2392x527,Night,West
196,Ashley Price,Facility Repairs,666.292.4880x5189,Morning,South
197,Colleen Smith,Equipment Ops Team,(316)511-1449x320,Night,South
198,Theresa Robinson MD,Facility Repairs,(590)732-9147x39467,Evening,Northeast
199,Cynthia Roberts,Automation Crew,638-919-9915x1299,Night,Midwest
200,David Perry,Maintenance Squad,001-868-454-8599x65245,Night,Midwest
201,James Figueroa,Facility Repairs,809.650.7643,Night,South
202,Brian Medina,Facility Repairs,6246262798,Morning,Midwest
203,Mark Bailey,Equipment Ops Team,908-294-5350x66679,Evening,South
204,Douglas Johnson,Automation Crew,001-564-784-8929x91157,Morning,Northeast
205,Juan Ibarra,Facility Repairs,(560)600-2583,Night,South
206,Dawn Warner,Equipment Ops Team,001-248-919-2559x6570,Night,South
207,Kelly Ross,Automation Crew,318-428-1274,Morning,West
208,Wyatt Knapp,Facility Repairs,597.957.2659,Evening,West
209,Christie Powers,Automation Crew,+1-762-217-3709x38487,Evening,Midwest
210,Nathan Osborne,Maintenance Squad,428.250.1436x5195,Morning,Midwest
211,Mallory Roy,Automation Crew,899-737-8651,Evening,West
212,Donald Walker,Facility Repairs,001-848-268-5281,Night,South
213,Nathan Mcdonald,Maintenance Squad,001-366-625-2642,Evening,Midwest
214,Kelly Ballard,Equipment Ops Team,672-322-4545x65137,Morning,South
215,Richard Smith,Zone Tech Team,(675)796-3880x9739,Night,Midwest
216,Diana Cameron,Zone Tech Team,669-823-0661x3720,Evening,Midwest
217,Jessica Clark,Equipment Ops Team,889.398.6972x72868,Night,Midwest
218,Beth Graham,Automation Crew,001-927-954-0419x025,Evening,South
219,Michael Mullins,Zone Tech Team,647.990.3098,Night,Midwest
220,Janice Garcia,Automation Crew,001-708-397-0972,Night,West
221,Kim Harper,Zone Tech Team,296-573-0467,Morning,Midwest
222,Daniel Mckinney,Zone Tech Team,748.603.2753x7573,Evening,Midwest
223,John Nichols,Facility Repairs,+1-689-531-1099x9346,Morning,Northeast
224,Laura Moody,Zone Tech Team,702-307-1387x9297,Evening,Northeast
225,Christopher James,Facility Repairs,(680)699-3542x6627,Night,Midwest
226,Manuel Ellis,Zone Tech Team,+1-518-981-4471x02830,Morning,West
227,Monica Taylor,Automation Crew,(429)247-6407,Night,Northeast
228,Tammy Ramsey,Zone Tech Team,946.972.8374x64079,Night,Northeast
229,Randy Pearson,Facility Repairs,439-889-2806x69954,Night,South
230,Cassidy Schmitt,Maintenance Squad,884.954.2012x92145,Night,South
231,Daniel Liu,Automation Crew,(747)546-1989x194,Evening,South
232,Antonio Sutton,Maintenance Squad,(845)412-5007x6818,Evening,South
233,Gary Smith,Maintenance Squad,508-745-7483x516,Morning,South
234,Kristi Jimenez,Facility Repairs,001-424-352-0168,Evening,Midwest
235,Amy Romero,Facility Repairs,775-759-0718,Night,West
236,Katherine Taylor,Automation Crew,299.936.4386,Morning,Midwest
237,Austin Anderson,Maintenance Squad,+1-707-536-0421x1088,Night,Northeast
238,Brandon Ramirez,Equipment Ops Team,5665940753,Night,West
239,Melissa Page,Automation Crew,353.548.7888x963,Morning,Northeast
240,Ann Rosario,Equipment Ops Team,001-318-542-4466x1854,Night,West
241,Jessica Delacruz,Automation Crew,241-772-7186x052,Night,West
242,David Barker,Equipment Ops Team,477-682-8430x7481,Morning,Midwest
243,Emily Lawrence,Maintenance Squad,2427804142,Night,West
244,Mark Lang,Automation Crew,207.541.4688x4890,Evening,Northeast
245,Robert Young,Zone Tech Team,777.465.7648x6999,Evening,South
246,Shannon Figueroa,Automation Crew,516-775-6180,Night,West
247,Samantha Norris,Zone Tech Team,001-471-621-1281,Evening,Northeast
248,Nathan Lin,Equipment Ops Team,(727)373-1963,Night,Northeast
249,Matthew Torres,Automation Crew,(783)838-8860,Morning,Midwest
250,Benjamin Brown,Automation Crew,471-493-8078x482,Evening,Midwest
251,Jacqueline Myers,Zone Tech Team,001-490-274-6024x01722,Night,South
252,Paula Sullivan,Automation Crew,534-291-2342x466,Evening,Midwest
253,Julian Drake,Automation Crew,404-989-5797,Morning,Northeast
254,Jonathan Strong,Facility Repairs,812.491.6354,Morning,Midwest
255,Kristin Perez,Zone Tech Team,+1-424-709-4031x1498,Morning,Midwest
256,Sheila Francis,Maintenance Squad,5376703442,Night,West
257,Teresa Diaz,Equipment Ops Team,320.802.6607x945,Evening,West
258,Rebecca Campbell,Zone Tech Team,(870)926-6547x467,Night,Northeast
259,Stefanie Lawson,Equipment Ops Team,(584)749-1003x72255,Night,South
260,Brian Ford,Facility Repairs,207-617-3497x198,Morning,Midwest
261,Henry Adams,Maintenance Squad,893.890.8995x32734,Evening,West
262,Raymond Hunter,Equipment Ops Team,(214)361-5159x6271,Night,South
263,Robert Montoya,Maintenance Squad,641.499.2730,Evening,South
264,Amanda Evans,Maintenance Squad,852-247-0925x918,Morning,Northeast
265,Brandy Washington,Maintenance Squad,606.909.8986x7136,Morning,Northeast
266,Christine Garcia,Automation Crew,505.415.4784,Evening,South
267,Kevin Wagner,Automation Crew,(952)561-5418x923,Evening,Northeast
268,William Gutierrez,Facility Repairs,+1-703-564-9701,Evening,West
269,Joshua Campbell,Facility Repairs,001-207-269-7307x33998,Night,Midwest
270,Randy Wright,Zone Tech Team,589-624-8365,Morning,Midwest
271,Joshua Stout,Facility Repairs,(978)630-8636x78836,Evening,Midwest
272,Anna Smith,Automation Crew,001-664-711-6701,Evening,Midwest
273,Paul Mclean,Equipment Ops Team,(625)478-2182x102,Night,Northeast
274,Jennifer Schwartz,Maintenance Squad,562.464.1524,Evening,West
275,Samantha Adams,Zone Tech Team,(243)245-2027x3080,Night,South
276,Crystal Perez,Zone Tech Team,571.471.9161,Night,West
277,Melissa Mcdaniel,Automation Crew,246-736-5122,Evening,Midwest
278,Melanie Vincent,Maintenance Squad,937-473-3593x0648,Night,Midwest
279,Frank Oliver,Automation Crew,001-610-814-1427x5230,Morning,Northeast
280,Mrs. Ashley Lee MD,Equipment Ops Team,001-924-819-2250,Night,Northeast
281,Robert Davis,Maintenance Squad,656.481.8384x73148,Evening,Midwest
282,Kristen Brown,Facility Repairs,+1-514-372-0676x850,Morning,West
283,Michael Pearson,Zone Tech Team,+1-711-583-1045x509,Evening,West
284,Ricky Douglas,Facility Repairs,692-654-4725x30449,Morning,West
285,Ashley Mason,Zone Tech Team,697-445-9868,Evening,Midwest
286,Christina White,Maintenance Squad,777-883-0138x2196,Evening,Midwest
287,Daniel Mcbride,Equipment Ops Team,001-571-826-6183x99405,Night,Northeast
288,Christopher Walker,Equipment Ops Team,001-856-789-3127x971,Morning,West
289,Nancy Haas,Equipment Ops Team,4138784101,Night,Midwest
290,Adam Reynolds,Maintenance Squad,(277)241-2696,Morning,South
291,Brandon Watson,Facility Repairs,782-754-7838,Morning,South
292,David Zamora,Zone Tech Team,454.703.6661x8307,Night,Northeast
293,Richard Barker,Maintenance Squad,+1-649-300-6859x7978,Night,West
294,Courtney Johnson,Facility Repairs,001-515-571-8873x757,Night,West
295,Marilyn Rios,Automation Crew,636-634-6821x05258,Night,West
296,Leslie Daniels,Automation Crew,(723)249-4719,Evening,South
297,Joshua Ward,Zone Tech Team,740.935.7599,Evening,West
298,Mrs. Sarah Dixon,Maintenance Squad,784-896-5565,Night,West
299,Russell Martinez,Zone Tech Team,(730)644-6946x53623,Night,South
300,Jennifer Garcia,Maintenance Squad,(863)876-6895,Morning,Midwest
301,Julia Arnold,Automation Crew,(650)524-4997,Night,Midwest
302,Dr. Sarah Peters PhD,Maintenance Squad,+1-647-565-1618x103,Night,West
303,Matthew Warren,Zone Tech Team,458.807.8804x672,Morning,Northeast
304,Beth Smith,Equipment Ops Team,(951)802-2834,Night,Midwest
305,Jason Rodriguez,Maintenance Squad,355-409-6193x54867,Night,Northeast
306,William King,Maintenance Squad,(443)654-7365x2767,Evening,Northeast
307,Dylan Frank,Automation Crew,250.573.8868x8845,Night,West
308,Brandon Jackson,Maintenance Squad,341.604.0783x21078,Morning,Midwest
309,Catherine Hill,Automation Crew,453-341-9227,Night,Midwest
310,Christopher Knox III,Facility Repairs,887.858.7343,Evening,South
311,Jason Arias,Automation Crew,975.745.8118x2484,Morning,Northeast
312,Michael Saunders,Maintenance Squad,+1-207-375-5703x4685,Morning,South
313,Deanna Thomas,Zone Tech Team,497.386.3545,Night,Midwest
314,James Wheeler,Equipment Ops Team,001-835-761-8204x876,Morning,South
315,Daniel Peters,Automation Crew,597.562.3329,Morning,Northeast
316,Lisa Morris,Automation Crew,586-856-3429,Morning,West
317,Jane Best,Facility Repairs,2378956832,Evening,West
318,Julie Trevino,Maintenance Squad,424.832.6692x717,Night,Midwest
319,Jason Griffin,Facility Repairs,001-648-912-3072x51258,Evening,South
320,Diane Park,Automation Crew,4498544407,Night,Northeast
321,Walter Adams,Zone Tech Team,+1-776-654-0760x236,Evening,South
322,Meredith Swanson,Facility Repairs,9335055142,Morning,West
323,Nathan Callahan,Automation Crew,358.323.9168,Morning,South
324,Jennifer Wilson MD,Maintenance Squad,306-791-9844,Night,Midwest
325,John Snyder,Automation Crew,(558)896-5477,Evening,South
326,Carolyn James,Maintenance Squad,+1-608-328-9735x011,Night,South
327,Kristen Tran,Automation Crew,464.569.9013x6801,Morning,Northeast
328,Hannah Farley,Facility Repairs,(836)906-2608x2682,Morning,Northeast
329,Courtney Lewis,Maintenance Squad,(346)992-9337x321,Morning,South
330,Steven Cross,Equipment Ops Team,992-718-6115,Morning,West
331,Maria York,Automation Crew,(950)492-3164x466,Evening,Northeast
332,Edward Carroll,Zone Tech Team,428.423.7019x75583,Evening,West
333,Marie Reynolds,Equipment Ops Team,945-974-2129,Morning,Northeast
334,Angela Cox,Zone Tech Team,242-852-6339,Morning,West
335,Gina Smith,Zone Tech Team,+1-309-527-5606x61374,Evening,Midwest
336,Sean Vasquez,Maintenance Squad,670-827-5043x0358,Morning,Midwest
337,Mrs. Sandra Johnson,Zone Tech Team,(548)498-6122x372,Night,Northeast
338,Angela Phillips,Automation Crew,600-629-4816x8262,Evening,South
339,Denise Silva,Zone Tech Team,(851)784-4982x84262,Evening,South
340,Matthew Rowe,Equipment Ops Team,671-381-1047x09943,Evening,Midwest
341,Jacob Solomon,Maintenance Squad,494-569-1857,Night,South
342,Michael Porter,Equipment Ops Team,403.625.1188x049,Night,Northeast
343,Jennifer Valentine,Facility Repairs,+1-632-594-4605x6461,Evening,West
344,Michaela Williams,Automation Crew,510-623-3336x4267,Evening,South
345,Nicole Smith,Automation Crew,(913)483-1990x585,Night,West
346,Becky Rush,Automation Crew,987-649-1949,Evening,Northeast
347,Karen Harrison,Maintenance Squad,+1-754-450-2013x49119,Evening,South
348,Molly Gonzalez,Facility Repairs,836.804.1883x4589,Evening,South
349,Willie Robinson,Automation Crew,721-632-9228x6286,Morning,Midwest
350,David Miller,Equipment Ops Team,5022636379,Night,West
351,James Patterson,Zone Tech Team,804-679-9579x860,Night,South
352,Michael Crane,Automation Crew,+1-282-522-5316x789,Morning,South
353,Zachary Owen,Zone Tech Team,328.877.9331x7464,Evening,Northeast
354,Christina Guzman,Zone Tech Team,+1-220-596-2692x719,Night,South
355,Tyler Hahn,Automation Crew,(342)340-1064,Evening,Northeast
356,Maria Cabrera,Maintenance Squad,+1-356-798-4801x817,Night,Midwest
357,Jay Hughes,Automation Crew,001-360-548-2230x610,Night,West
358,Jacob Johnson,Maintenance Squad,(529)728-5135x900,Evening,West
359,Sabrina Hall,Automation Crew,595-650-1679x57009,Night,South
360,Michelle Hernandez,Equipment Ops Team,240-974-9548x26475,Night,Midwest
361,Matthew Davis,Zone Tech Team,(644)264-3280,Night,West
362,Jeanette Cantu DDS,Zone Tech Team,330.820.0772x86953,Evening,Midwest
363,Erica Reyes,Automation Crew,001-865-964-9543x2828,Morning,West
364,Robert Thomas,Automation Crew,(621)336-3651,Night,West
365,Jennifer Griffin,Automation Crew,+1-918-434-9588x79319,Evening,West
366,Ann Richards,Equipment Ops Team,001-320-456-6504x03821,Night,Northeast
367,Amanda Scott,Maintenance Squad,586.706.2266x46990,Night,Midwest
368,Mackenzie Hernandez,Maintenance Squad,(581)939-8050x27372,Evening,Midwest
369,Erica Ramos,Facility Repairs,384-913-6748,Morning,Midwest
370,Sonya Reese,Automation Crew,506-781-7704,Evening,Midwest
371,Amy Clark,Equipment Ops Team,257.876.5588,Morning,Northeast
372,Amy Richards,Zone Tech Team,001-718-779-8823x84885,Night,Northeast
373,Jason Rice,Facility Repairs,618-551-1221x8321,Morning,Northeast
374,Christopher Jenkins,Automation Crew,927-808-7747x211,Evening,West
375,Thomas Herrera,Equipment Ops Team,001-926-900-9833,Evening,Midwest
376,Abigail Henderson MD,Zone Tech Team,001-230-514-7050x5497,Evening,South
377,Manuel Woods,Zone Tech Team,(924)848-3132x6379,Night,West
378,Thomas Walker,Maintenance Squad,7478251768,Evening,Northeast
379,Jessica Mcdonald,Equipment Ops Team,981.573.2054,Evening,Northeast
380,Barbara Moses,Equipment Ops Team,(458)762-9519x3784,Night,Midwest
381,Daniel Quinn,Maintenance Squad,(723)435-4043,Morning,Northeast
382,Andrew Bradley,Equipment Ops Team,001-379-700-3521x41671,Evening,Midwest
383,Christopher Baker,Zone Tech Team,(212)417-3106,Evening,Northeast
384,George Harvey,Automation Crew,001-409-578-3613x800,Evening,West
385,Jodi Stanton,Zone Tech Team,(471)884-5162,Evening,South
386,Megan West,Zone Tech Team,+1-592-341-4688x978,Evening,Northeast
387,Peter King,Zone Tech Team,+1-981-335-3585x824,Morning,South
388,Larry Simmons,Zone Tech Team,902-463-0018x1910,Night,West
389,Bradley Webb,Facility Repairs,(680)962-7727x65632,Morning,Northeast
390,Stacey Garcia,Zone Tech Team,322.753.9257x0574,Morning,Northeast
391,Jeffery Hester,Zone Tech Team,6523943998,Evening,Midwest
392,Anthony Schroeder,Facility Repairs,859-842-4308x1624,Night,West
393,Jennifer Rivers,Automation Crew,516.232.6185,Evening,Northeast
